,sent_index,dep,sentence_length,root_index,root_word,entity_1_index,entity_2_index,entity_distance,no_words_before_entity_1,no_words_after_entity_2,entity_1_root_distance,entity_2_root_distance,entity 1 name,entity 2 name,entity_type_1,entity_type_2,entity_pos_1,entity_pos_2,entity_dep_1,entity_dep_2,entity_tag_1,entity_tag_2,shortest_distance,shortest_path,rel type,rel subtype,entity 1 ID,entity 2 ID,entity 1 mention ID,entity 2 mention ID,entity 1 type,entity 2 type,same_sent,same_sent.1,distance,pos_pattern,shortest_dep_path,span,label
2,3.0,"['det', 'nsubj', 'ROOT', 'compound', 'compound', 'dobj', 'npadvmod', 'punct', 'nummod', 'npadvmod', 'punct', 'mark', 'nsubjpass', 'aux', 'advmod', 'neg', 'auxpass', 'ccomp', 'dobj', 'prep', 'amod', 'pobj', 'punct', '']",24,2,updated,1,4,3,0,19,1,2,The UN,Security Council members,Organisation,Organisation,DET-PROPN,PROPN-PROPN-NOUN,det-nsubj,compound-compound-dobj,DT-NNP,NNP-NNP-NNS,3,"[1, 2, 5, 4]",CommWith,CommWith,78C6FA20C3559F23A36974F2B22BC73A-3-0-6-Organisation,78C6FA20C3559F23A36974F2B22BC73A-3-15-39-Organisation,78C6FA20C3559F23A36974F2B22BC73A-3-0-6-Organisation,78C6FA20C3559F23A36974F2B22BC73A-3-15-39-Organisation,Organisation,Organisation,True,True,2.0,VERB,2.0,The UN updated Security Council members,1
3,7.0,"['punct', 'det', 'amod', 'nsubj', 'advmod', 'ROOT', 'amod', 'dobj', 'prep', 'pobj', 'punct', 'cc', 'nsubj', 'conj', 'det', 'amod', 'attr', 'punct']",18,5,claims,2,10,8,1,7,3,5,The Syrian army,Aleppo,Organisation,Location,DET-ADJ-NOUN,PROPN,det-amod-nsubj,pobj,DT-JJ-NN,NNP,3,"[2, 3, 5, 10]",InChargeOf,InChargeOf,78C6FA20C3559F23A36974F2B22BC73A-6-1-16-Organisation,78C6FA20C3559F23A36974F2B22BC73A-6-44-50-Location,78C6FA20C3559F23A36974F2B22BC73A-6-1-16-Organisation,78C6FA20C3559F23A36974F2B22BC73A-6-44-50-Location,Organisation,Location,True,True,6.0,ADV-VERB-ADJ-NOUN-ADP,4.0,The Syrian army now claims full control of Aleppo,1
0,2.0,"['det', 'compound', 'compound', 'nsubj', 'ROOT', 'punct', 'punct', 'det', 'compound', 'nsubj', 'ccomp', 'amod', 'compound', 'compound', 'compound', 'dobj', 'advmod', 'npadvmod', 'prep', 'det', 'pobj', 'prep', 'det', 'compound', 'pobj', 'prep', 'compound', 'pobj', 'punct', 'poss', 'amod', 'nmod', 'punct', 'prep', 'punct', 'pobj', 'dobj', 'mark', 'compound', 'nsubjpass', 'auxpass', 'advcl', 'punct', '']",44,4,said,8,12,4,7,31,-4,8,The Foreign Secretary,Russian Foreign Minister Sergei Lavrov,Person,Person,DET-PROPN-PROPN,ADJ-PROPN-PROPN-PROPN-PROPN,det-compound-nsubj,amod-compound-compound-compound-dobj,DT-NNP-NNP,JJ-NNP-NNP-NNP-NNP,5,"[8, 9, 10, 15, 13, 12]",CommWith,CommWith,1101048768E50FA1F8DA3F7B7CD105AB-0-109-130-Person,1101048768E50FA1F8DA3F7B7CD105AB-0-135-173-Person,1101048768E50FA1F8DA3F7B7CD105AB-0-109-130-Person,1101048768E50FA1F8DA3F7B7CD105AB-0-135-173-Person,Person,Person,True,True,2.0,VERB,2.0,The Foreign Secretary met Russian Foreign Minister Sergei Lavrov,1
1,4.0,"['det', 'compound', 'nsubj', 'ROOT', 'mark', 'nsubj', 'aux', 'advcl', 'poss', 'dobj', 'advmod', 'cc', 'conj', 'det', 'dobj', 'mark', 'det', 'amod', 'nsubj', 'aux', 'advcl', 'advmod', 'aux', 'advcl', 'det', 'dobj', 'punct', '']",28,3,pressed,1,6,5,0,21,2,3,The Foreign Secretary,Russia,Person,Organisation,DET-PROPN-PROPN,PROPN,det-compound-nsubj,nsubj,DT-NNP-NNP,NNP,4,"[1, 2, 3, 7, 6]",CommWith,CommWith,1101048768E50FA1F8DA3F7B7CD105AB-2-0-21-Person,1101048768E50FA1F8DA3F7B7CD105AB-2-34-40-Organisation,1101048768E50FA1F8DA3F7B7CD105AB-2-0-21-Person,1101048768E50FA1F8DA3F7B7CD105AB-2-34-40-Organisation,Person,Organisation,True,True,3.0,VERB-ADP,3.0,The Foreign Secretary pressed for Russia,1
0,10.0,"['compound', 'nsubj', 'aux', 'ROOT', 'prep', 'det', 'pobj', 'prep', 'det', 'compound', 'compound', 'pobj', 'cc', 'auxpass', 'conj', 'prt', 'aux', 'advcl', 'poss', 'dobj', 'prep', 'compound', 'pobj', 'punct']",24,3,gather,1,6,5,0,17,2,3,Pentagon Press,the Press Briefing Room,Organisation,Location,PROPN-PROPN,DET-PROPN-PROPN-PROPN,compound-nsubj,det-compound-compound-pobj,NNP-NNP,DT-NNP-NNP-NNP,3,"[1, 3, 4, 6]",CoLocated,CoLocated,E9035FF1D0DA74A11674C82688C05C51-12-0-14-Organisation,E9035FF1D0DA74A11674C82688C05C51-12-46-69-Location,E9035FF1D0DA74A11674C82688C05C51-12-0-14-Organisation,E9035FF1D0DA74A11674C82688C05C51-12-46-69-Location,Organisation,Location,True,True,7.0,VERB-VERB-ADP-DET-NOUN-ADP,5.0,Pentagon Press will gather around the call in the Press Briefing Room,1
1,11.0,"['compound', 'ROOT', 'nsubj', 'aux', 'advmod', 'relcl', 'prep', 'det', 'pobj', 'prep', 'det', 'pobj', 'punct']",13,1,Davis,1,8,7,0,4,0,7,Jeff Davis,the room,Person,Location,PROPN-PROPN,DET-NOUN,compound-ROOT,det-pobj,NNP-NNP,DT-NN,3,"[1, 5, 6, 8]",CoLocated,CoLocated,E9035FF1D0DA74A11674C82688C05C51-13-0-10-Person,E9035FF1D0DA74A11674C82688C05C51-13-31-39-Location,E9035FF1D0DA74A11674C82688C05C51-13-0-10-Person,E9035FF1D0DA74A11674C82688C05C51-13-31-39-Location,Person,Location,True,True,6.0,PRON-VERB-ADV-AUX-ADP,3.0,Jeff Davis who will also be in the room,1
2,11.0,"['compound', 'ROOT', 'nsubj', 'aux', 'advmod', 'relcl', 'prep', 'det', 'pobj', 'prep', 'det', 'pobj', 'punct']",13,1,Davis,8,8,0,7,4,-7,7,the room,the Pentagon,Location,Location,DET-NOUN,DET-PROPN,det-pobj,det-pobj,DT-NN,DT-NNP,0,[8],CoLocated,CoLocated,E9035FF1D0DA74A11674C82688C05C51-13-31-39-Location,E9035FF1D0DA74A11674C82688C05C51-13-43-55-Location,E9035FF1D0DA74A11674C82688C05C51-13-31-39-Location,E9035FF1D0DA74A11674C82688C05C51-13-43-55-Location,Location,Location,True,True,2.0,ADP,2.0,the room at the Pentagon,1
0,0.0,"['compound', 'nsubj', 'punct', 'det', 'compound', 'appos', 'prep', 'compound', 'pobj', 'prep', 'compound', 'pobj', 'prep', 'det', 'compound', 'pobj', 'cc', 'conj', 'cc', 'compound', 'conj', 'punct', 'aux', 'ROOT', 'prep', 'compound', 'pobj', 'nummod', 'punct', 'prep', 'cc', 'conj', 'pobj', 'npadvmod', 'nummod']",35,23,travel,1,4,3,0,30,22,-19,Knox Thames,the Special Advisor to Ambassador Saperstein for Religious Minorities in the Near East and South and Central Asia,Person,Person,PROPN-PROPN,DET-PROPN-PROPN-ADP-PROPN-PROPN-ADP-ADJ-NOUN-ADP-DET-PROPN-PROPN-CCONJ-PROPN-CCONJ-PROPN-PROPN,compound-nsubj,det-compound-appos-prep-compound-pobj-prep-compound-pobj-prep-det-compound-pobj-cc-conj-cc-compound-conj,NNP-NNP,DT-NNP-NNP-IN-NNP-NNP-IN-JJ-NNS-IN-DT-NNP-NNP-CC-NNP-CC-NNP-NNP,2,"[1, 5, 4]",IsSynonymOf,IsSynonymOf,9104BDCC8E9A1CD2090757B487421DC6-0-0-11-Person,9104BDCC8E9A1CD2090757B487421DC6-0-13-126-Person,9104BDCC8E9A1CD2090757B487421DC6-0-0-11-Person,9104BDCC8E9A1CD2090757B487421DC6-0-13-126-Person,Person,Person,True,True,1.0,,1.0,"Knox Thames , the Special Advisor to Ambassador Saperstein for Religious Minorities in the Near East and South and Central Asia",1
1,2.0,"['prep', 'pobj', 'punct', 'compound', 'compound', 'nsubj', 'aux', 'ROOT', 'dobj', 'prep', 'det', 'pobj', 'punct', 'dobj', 'aux', 'advcl', 'amod', 'dobj', 'prep', 'det', 'dep', 'compound', 'pobj', 'punct']",24,7,deliver,4,11,7,3,12,3,4,Special Advisor Thames,the G-20 Interfaith Conference,Person,Organisation,PROPN-PROPN-PROPN,DET-NUM-PROPN-PROPN,compound-compound-nsubj,det-dep-compound-pobj,NNP-NNP-NNP,DT-CD-NNP-NNP,6,"[4, 5, 7, 8, 9, 13, 11]",CoLocated,CoLocated,9104BDCC8E9A1CD2090757B487421DC6-1-11-33-Person,9104BDCC8E9A1CD2090757B487421DC6-1-115-145-Organisation,9104BDCC8E9A1CD2090757B487421DC6-1-11-33-Person,9104BDCC8E9A1CD2090757B487421DC6-1-115-145-Organisation,Person,Organisation,True,True,12.0,VERB-VERB-NOUN-ADP-DET-PART-NOUN-PART-VERB-ADJ-ADP,5.0,Special Advisor Thames will deliver remarks on the Department ’s work to support religious minorities at the G-20 Interfaith Conference,1
2,2.0,"['prep', 'pobj', 'punct', 'compound', 'compound', 'nsubj', 'aux', 'ROOT', 'dobj', 'prep', 'det', 'pobj', 'punct', 'dobj', 'aux', 'advcl', 'amod', 'dobj', 'prep', 'det', 'dep', 'compound', 'pobj', 'punct']",24,7,deliver,11,2,-9,10,21,-4,-5,the G-20 Interfaith Conference,Turkey,Organisation,Location,DET-NUM-PROPN-PROPN,PROPN,det-dep-compound-pobj,pobj,DT-CD-NNP-NNP,NNP,5,"[11, 13, 9, 8, 7, 2]",CoLocated,CoLocated,9104BDCC8E9A1CD2090757B487421DC6-1-115-145-Organisation,9104BDCC8E9A1CD2090757B487421DC6-1-3-9-Location,9104BDCC8E9A1CD2090757B487421DC6-1-115-145-Organisation,9104BDCC8E9A1CD2090757B487421DC6-1-3-9-Location,Organisation,Location,True,True,13.0,PROPN-VERB-VERB-NOUN-ADP-DET-PART-NOUN-PART-VERB-ADJ-ADP,6.0,"Turkey , Special Advisor Thames will deliver remarks on the Department ’s work to support religious minorities at the G-20 Interfaith Conference",1
3,3.0,"['prep', 'pobj', 'punct', 'compound', 'compound', 'nsubj', 'aux', 'ROOT', 'prep', 'amod', 'cc', 'conj', 'pobj', 'aux', 'advcl', 'prep', 'pobj', 'prep', 'det', 'amod', 'amod', 'pobj', 'cc', 'aux', 'conj', 'det', 'dobj', 'prep', 'amod', 'amod', 'compound', 'compound', 'pobj', 'acl', 'prep', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'punct']",41,7,meet,10,2,-8,9,38,-3,-5,religious minority refugee populations,Lebanon,Organisation,Location,ADJ-NOUN-NOUN-NOUN,PROPN,amod-compound-compound-pobj,pobj,JJ-NN-NN-NNS,NNP,5,"[10, 9, 12, 8, 7, 2]",CoLocated,CoLocated,9104BDCC8E9A1CD2090757B487421DC6-2-192-230-Organisation,9104BDCC8E9A1CD2090757B487421DC6-2-241-248-Location,9104BDCC8E9A1CD2090757B487421DC6-2-192-230-Organisation,9104BDCC8E9A1CD2090757B487421DC6-2-241-248-Location,Organisation,Location,True,True,,,,religious minority refugee populations coming to Lebanon,1
4,3.0,"['prep', 'pobj', 'punct', 'compound', 'compound', 'nsubj', 'aux', 'ROOT', 'prep', 'amod', 'cc', 'conj', 'pobj', 'aux', 'advcl', 'prep', 'pobj', 'prep', 'det', 'amod', 'amod', 'pobj', 'cc', 'aux', 'conj', 'det', 'dobj', 'prep', 'amod', 'amod', 'compound', 'compound', 'pobj', 'acl', 'prep', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'punct']",41,7,meet,10,38,28,9,2,-3,31,religious minority refugee populations,Syria,Organisation,Location,ADJ-NOUN-NOUN-NOUN,PROPN,amod-compound-compound-pobj,pobj,JJ-NN-NN-NNS,NNP,13,"[10, 9, 12, 8, 7, 14, 24, 26, 27, 32, 33, 36, 37, 38]",Apart,Apart,9104BDCC8E9A1CD2090757B487421DC6-2-192-230-Organisation,9104BDCC8E9A1CD2090757B487421DC6-2-254-259-Location,9104BDCC8E9A1CD2090757B487421DC6-2-192-230-Organisation,9104BDCC8E9A1CD2090757B487421DC6-2-254-259-Location,Organisation,Location,True,True,,,,religious minority refugee populations coming to Lebanon from Syria,1
5,3.0,"['prep', 'pobj', 'punct', 'compound', 'compound', 'nsubj', 'aux', 'ROOT', 'prep', 'amod', 'cc', 'conj', 'pobj', 'aux', 'advcl', 'prep', 'pobj', 'prep', 'det', 'amod', 'amod', 'pobj', 'cc', 'aux', 'conj', 'det', 'dobj', 'prep', 'amod', 'amod', 'compound', 'compound', 'pobj', 'acl', 'prep', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'punct']",41,7,meet,10,40,30,9,0,-3,33,religious minority refugee populations,Iraq,Organisation,Location,ADJ-NOUN-NOUN-NOUN,PROPN,amod-compound-compound-pobj,conj,JJ-NN-NN-NNS,NNP,5,"[10, 9, 12, 8, 7, 40]",Apart,Apart,9104BDCC8E9A1CD2090757B487421DC6-2-192-230-Organisation,9104BDCC8E9A1CD2090757B487421DC6-2-264-268-Location,9104BDCC8E9A1CD2090757B487421DC6-2-192-230-Organisation,9104BDCC8E9A1CD2090757B487421DC6-2-264-268-Location,Organisation,Location,True,True,,,,religious minority refugee populations coming to Lebanon from Syria and Iraq,1
0,0.0,"['ROOT', 'prep', 'det', 'compound', 'compound', 'compound', 'compound', 'pobj', 'prep', 'det', 'pobj', 'prep', 'det', 'amod', 'pobj', 'aux', 'relcl', 'det', 'dobj', 'prep', 'pobj', 'prep', 'pobj', 'punct', '']",25,0,Minister,3,23,20,2,1,-3,23,the city of Mosul,Iraq,Location,Location,DET-NOUN-ADP-PROPN,PROPN,det-dobj-prep-pobj,pobj,DT-NN-IN-NNP,NNP,6,"[3, 4, 6, 1, 0, 7, 23]",CoLocated,CoLocated,D23AD6D80730BEF27D23CDD2287AC200-0-100-117-Location,D23AD6D80730BEF27D23CDD2287AC200-0-121-125-Location,D23AD6D80730BEF27D23CDD2287AC200-0-100-117-Location,D23AD6D80730BEF27D23CDD2287AC200-0-121-125-Location,Location,Location,True,True,2.0,ADP,2.0,the city of Mosul in Iraq,1
1,1.0,"['compound', 'nsubj', 'ROOT', 'punct', '', 'det', 'nsubj', 'prep', 'amod', 'pobj', 'aux', 'acl', 'det', 'dobj', 'prep', 'pobj', 'ccomp', 'det', 'npadvmod', 'advmod', 'prep', 'pcomp', 'dobj', 'prep', 'pobj', 'punct']",26,2,said,23,25,2,22,0,-21,23,Daesh,Iraq,Organisation,Location,PROPN,PROPN,dobj,pobj,NNP,NNP,6,"[23, 21, 20, 18, 16, 2, 25]",CoLocated,CoLocated,D23AD6D80730BEF27D23CDD2287AC200-1-125-130-Organisation,D23AD6D80730BEF27D23CDD2287AC200-1-136-140-Location,D23AD6D80730BEF27D23CDD2287AC200-1-125-130-Organisation,D23AD6D80730BEF27D23CDD2287AC200-1-136-140-Location,Organisation,Location,True,True,2.0,ADP,3.0,Daesh from Iraq,1
2,4.0,"['det', 'nsubj', 'punct', 'prep', 'pobj', 'prep', 'det', 'compound', 'pobj', 'punct', 'ROOT', 'acomp', 'prep', 'pcomp', 'aux', 'xcomp', 'det', 'dobj', 'prep', 'pobj', 'prep', 'amod', 'punct', 'conj', 'cc', 'conj', 'pobj', 'punct', '']",29,10,is,1,7,6,0,21,9,-3,The UK,the Global Coalition,Organisation,Organisation,DET-PROPN,DET-PROPN-PROPN,det-nsubj,det-compound-pobj,DT-NNP,DT-NNP-NNP,6,"[1, 11, 3, 4, 5, 8, 7]",BelongsTo,BelongsTo,D23AD6D80730BEF27D23CDD2287AC200-4-0-6-Organisation,D23AD6D80730BEF27D23CDD2287AC200-4-19-39-Organisation,D23AD6D80730BEF27D23CDD2287AC200-4-0-6-Organisation,D23AD6D80730BEF27D23CDD2287AC200-4-19-39-Organisation,Organisation,Organisation,True,True,,,,"The UK , as part of the Global Coalition",1
3,4.0,"['det', 'nsubj', 'punct', 'prep', 'pobj', 'prep', 'det', 'compound', 'pobj', 'punct', 'ROOT', 'acomp', 'prep', 'pcomp', 'aux', 'xcomp', 'det', 'dobj', 'prep', 'pobj', 'prep', 'amod', 'punct', 'conj', 'cc', 'conj', 'pobj', 'punct', '']",29,10,is,1,7,6,0,21,9,-3,The UK,the government of Iraq,Organisation,Organisation,DET-PROPN,DET-NOUN-ADP-PROPN,det-nsubj,det-dobj-prep-pobj,DT-NNP,DT-NN-IN-NNP,6,"[1, 11, 3, 4, 5, 8, 7]",Likes,Likes,D23AD6D80730BEF27D23CDD2287AC200-4-0-6-Organisation,D23AD6D80730BEF27D23CDD2287AC200-4-79-101-Organisation,D23AD6D80730BEF27D23CDD2287AC200-4-0-6-Organisation,D23AD6D80730BEF27D23CDD2287AC200-4-79-101-Organisation,Organisation,Organisation,True,True,,,,"The UK , as part of the Global Coalition , is committed to continuing to provide the government of Iraq",1
4,4.0,"['det', 'nsubj', 'punct', 'prep', 'pobj', 'prep', 'det', 'compound', 'pobj', 'punct', 'ROOT', 'acomp', 'prep', 'pcomp', 'aux', 'xcomp', 'det', 'dobj', 'prep', 'pobj', 'prep', 'amod', 'punct', 'conj', 'cc', 'conj', 'pobj', 'punct', '']",29,10,is,7,7,0,6,21,3,-3,the Global Coalition,the government of Iraq,Organisation,Organisation,DET-PROPN-PROPN,DET-NOUN-ADP-PROPN,det-compound-pobj,det-dobj-prep-pobj,DT-NNP-NNP,DT-NN-IN-NNP,0,[7],Likes,Likes,D23AD6D80730BEF27D23CDD2287AC200-4-19-39-Organisation,D23AD6D80730BEF27D23CDD2287AC200-4-79-101-Organisation,D23AD6D80730BEF27D23CDD2287AC200-4-19-39-Organisation,D23AD6D80730BEF27D23CDD2287AC200-4-79-101-Organisation,Organisation,Organisation,True,True,,,,"the Global Coalition , is committed to continuing to provide the government of Iraq",1
0,0.0,"['nsubj', 'prep', 'det', 'compound', 'pobj', 'punct', 'compound', 'appos', 'punct', 'ccomp', 'prep', 'det', 'pobj', 'prep', 'det', 'compound', 'pobj', 'prep', 'pobj', '', 'compound', 'compound', 'nsubj', 'punct', 'compound', 'appos', 'punct', 'ROOT', 'punct', '', 'det', 'nsubj', 'ccomp', 'det', 'amod', 'attr', 'prep', 'pobj', 'prep', 'amod', 'pobj', 'prep', 'det', 'amod', 'pobj', 'prep', 'compound', 'pobj', 'prep', 'pobj', 'punct', 'appos', 'punct']",53,27,said,1,7,6,0,45,26,-20,Minister for the Middle East,Tobias Ellwood,Person,Person,PROPN-ADP-DET-PROPN-PROPN,PROPN-PROPN,nsubj-prep-det-compound-pobj,compound-appos,NNP-IN-DT-NNP-NNP,NNP-NNP,2,"[1, 0, 7]",IsSynonymOf,IsSynonymOf,09FF200CBB76594D688F8EB565717543-0-0-28-Person,09FF200CBB76594D688F8EB565717543-0-30-44-Person,09FF200CBB76594D688F8EB565717543-0-0-28-Person,09FF200CBB76594D688F8EB565717543-0-30-44-Person,Person,Person,True,True,1.0,,1.0,"Minister for the Middle East , Tobias Ellwood",1
1,0.0,"['nsubj', 'prep', 'det', 'compound', 'pobj', 'punct', 'compound', 'appos', 'punct', 'ccomp', 'prep', 'det', 'pobj', 'prep', 'det', 'compound', 'pobj', 'prep', 'pobj', '', 'compound', 'compound', 'nsubj', 'punct', 'compound', 'appos', 'punct', 'ROOT', 'punct', '', 'det', 'nsubj', 'ccomp', 'det', 'amod', 'attr', 'prep', 'pobj', 'prep', 'amod', 'pobj', 'prep', 'det', 'amod', 'pobj', 'prep', 'compound', 'pobj', 'prep', 'pobj', 'punct', 'appos', 'punct']",53,27,said,21,7,-14,20,45,6,-20,Foreign Office Minister,Tobias Ellwood,Person,Person,PROPN-PROPN-PROPN,PROPN-PROPN,compound-compound-nsubj,compound-appos,NNP-NNP-NNP,NNP-NNP,4,"[21, 22, 9, 0, 7]",IsSynonymOf,IsSynonymOf,09FF200CBB76594D688F8EB565717543-0-105-128-Person,09FF200CBB76594D688F8EB565717543-0-130-144-Person,09FF200CBB76594D688F8EB565717543-0-105-128-Person,09FF200CBB76594D688F8EB565717543-0-130-144-Person,Person,Person,True,True,1.0,,1.0,"Foreign Office Minister , Tobias Ellwood",1
2,0.0,"['nsubj', 'prep', 'det', 'compound', 'pobj', 'punct', 'compound', 'appos', 'punct', 'ccomp', 'prep', 'det', 'pobj', 'prep', 'det', 'compound', 'pobj', 'prep', 'pobj', '', 'compound', 'compound', 'nsubj', 'punct', 'compound', 'appos', 'punct', 'ROOT', 'punct', '', 'det', 'nsubj', 'ccomp', 'det', 'amod', 'attr', 'prep', 'pobj', 'prep', 'amod', 'pobj', 'prep', 'det', 'amod', 'pobj', 'prep', 'compound', 'pobj', 'prep', 'pobj', 'punct', 'appos', 'punct']",53,27,said,16,19,3,15,33,11,-8,Karrada,Baghdad,Location,Location,PROPN,PROPN,pobj,appos,NNP,NNP,5,"[16, 13, 12, 10, 9, 19]",CoLocated,CoLocated,09FF200CBB76594D688F8EB565717543-0-257-264-Location,09FF200CBB76594D688F8EB565717543-0-266-273-Location,09FF200CBB76594D688F8EB565717543-0-257-264-Location,09FF200CBB76594D688F8EB565717543-0-266-273-Location,Location,Location,True,True,1.0,,1.0,"Karrada , Baghdad",1
3,2.0,"['nsubj', 'ROOT', 'dobj', 'prt', 'xcomp', 'prep', 'pobj', 'cc', 'conj', 'acl', 'dobj', 'punct']",12,1,targeted,1,3,2,0,8,0,2,Daesh,families,Organisation,Organisation,PROPN,NOUN,nsubj,dobj,NNP,NNS,1,"[1, 3]",FightingAgainst,FightingAgainst,09FF200CBB76594D688F8EB565717543-2-0-5-Organisation,09FF200CBB76594D688F8EB565717543-2-15-23-Organisation,09FF200CBB76594D688F8EB565717543-2-0-5-Organisation,09FF200CBB76594D688F8EB565717543-2-15-23-Organisation,Organisation,Organisation,True,True,2.0,VERB,2.0,Daesh targeted families,1
4,4.0,"['det', 'nsubj', 'ROOT', 'prep', 'pobj', 'aux', 'advcl', 'dobj', 'cc', 'conj', 'det', 'dobj', 'punct']",13,2,stands,1,8,7,0,4,1,6,The UK,Daesh,Organisation,Organisation,DET-PROPN,PROPN,det-nsubj,dobj,DT-NNP,NNP,3,"[1, 2, 6, 8]",FightingAgainst,FightingAgainst,09FF200CBB76594D688F8EB565717543-4-0-6-Organisation,09FF200CBB76594D688F8EB565717543-4-32-37-Organisation,09FF200CBB76594D688F8EB565717543-4-0-6-Organisation,09FF200CBB76594D688F8EB565717543-4-32-37-Organisation,Organisation,Organisation,True,True,,,,The UK stands by Iraq to defeat Daesh,1
5,4.0,"['det', 'nsubj', 'ROOT', 'prep', 'pobj', 'aux', 'advcl', 'dobj', 'cc', 'conj', 'det', 'dobj', 'punct']",13,2,stands,5,8,3,4,4,-3,6,Iraq,Daesh,Organisation,Organisation,PROPN,PROPN,pobj,dobj,NNP,NNP,2,"[5, 6, 8]",FightingAgainst,FightingAgainst,09FF200CBB76594D688F8EB565717543-4-17-21-Organisation,09FF200CBB76594D688F8EB565717543-4-32-37-Organisation,09FF200CBB76594D688F8EB565717543-4-17-21-Organisation,09FF200CBB76594D688F8EB565717543-4-32-37-Organisation,Organisation,Organisation,True,True,,,,Iraq to defeat Daesh,1
0,2.0,"['nsubj', 'aux', 'ROOT', 'prep', 'pobj', 'prep', 'amod', 'amod', 'pobj', 'aux', 'advcl', 'mark', 'det', 'nsubj', 'prep', 'pobj', 'ccomp', 'det', 'amod', 'amod', 'cc', 'conj', 'dobj', 'prep', 'det', 'pobj', 'punct']",27,2,been,1,7,6,0,19,1,5,We,senior Iraqi officials,Organisation,Organisation,PRON,ADJ-ADJ-NOUN,nsubj,amod-amod-pobj,PRP,JJ-JJ-NNS,6,"[1, 2, 3, 4, 5, 8, 7]",CommWith,CommWith,6413ED35E27EFB504C689047F2F17B0F-2-0-2-Organisation,6413ED35E27EFB504C689047F2F17B0F-2-27-49-Organisation,6413ED35E27EFB504C689047F2F17B0F-2-0-2-Organisation,6413ED35E27EFB504C689047F2F17B0F-2-27-49-Organisation,Organisation,Organisation,True,True,6.0,AUX-AUX-ADP-NOUN-ADP,5.0,We have been in touch with senior Iraqi officials,1
1,2.0,"['nsubj', 'aux', 'ROOT', 'prep', 'pobj', 'prep', 'amod', 'amod', 'pobj', 'aux', 'advcl', 'mark', 'det', 'nsubj', 'prep', 'pobj', 'ccomp', 'det', 'amod', 'amod', 'cc', 'conj', 'dobj', 'prep', 'det', 'pobj', 'punct']",27,2,been,1,13,12,0,13,1,11,We,the Government of Iraq,Organisation,Organisation,PRON,DET-PROPN-ADP-PROPN,nsubj,det-nsubj-prep-pobj,PRP,DT-NNP-IN-NNP,4,"[1, 2, 10, 16, 13]",CommWith,CommWith,6413ED35E27EFB504C689047F2F17B0F-4-0-2-Organisation,6413ED35E27EFB504C689047F2F17B0F-4-23-45-Organisation,6413ED35E27EFB504C689047F2F17B0F-4-0-2-Organisation,6413ED35E27EFB504C689047F2F17B0F-4-23-45-Organisation,Organisation,Organisation,True,True,4.0,AUX-VERB-ADP,3.0,We are consulting with the Government of Iraq,1
2,3.0,"['nsubj', 'advmod', 'ROOT', 'det', 'dobj', 'prep', 'pobj', 'aux', 'xcomp', 'amod', 'dobj', 'prep', 'det', 'pobj', 'punct', 'conj', 'cc', 'aux', 'conj', 'det', 'dobj', 'cc', 'conj', 'nsubj', 'ccomp', 'prep', 'det', 'pobj', 'punct', 'conj', 'prep', 'poss', 'pobj', 'prep', 'det', 'nmod', 'nummod', 'punct', 'nummod', 'pobj', 'prep', 'det', 'compound', 'pobj', 'punct', '']",46,2,urge,1,4,3,0,41,1,2,We,the Government of Iraq,Organisation,Organisation,PRON,DET-PROPN-ADP-PROPN,nsubj,det-dobj-prep-pobj,PRP,DT-NNP-IN-NNP,2,"[1, 2, 4]",CommWith,CommWith,6413ED35E27EFB504C689047F2F17B0F-4-0-2-Organisation,6413ED35E27EFB504C689047F2F17B0F-4-23-45-Organisation,6413ED35E27EFB504C689047F2F17B0F-4-0-2-Organisation,6413ED35E27EFB504C689047F2F17B0F-4-23-45-Organisation,Organisation,Organisation,True,True,4.0,AUX-VERB-ADP,3.0,We are consulting with the Government of Iraq,1
3,4.0,"['nsubj', 'aux', 'ROOT', 'prep', 'det', 'pobj', 'prep', 'pobj', 'aux', 'advcl', 'det', 'amod', 'dobj', 'prep', 'det', 'amod', 'pobj', 'punct', '']",19,2,consulting,1,5,4,0,13,1,3,We,the Government of Iraq,Organisation,Organisation,PRON,DET-PROPN-ADP-PROPN,nsubj,det-pobj-prep-pobj,PRP,DT-NNP-IN-NNP,3,"[1, 2, 3, 5]",CommWith,CommWith,6413ED35E27EFB504C689047F2F17B0F-4-0-2-Organisation,6413ED35E27EFB504C689047F2F17B0F-4-23-45-Organisation,6413ED35E27EFB504C689047F2F17B0F-4-0-2-Organisation,6413ED35E27EFB504C689047F2F17B0F-4-23-45-Organisation,Organisation,Organisation,True,True,4.0,AUX-VERB-ADP,3.0,We are consulting with the Government of Iraq,1
